Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-28 16:14:05,21.6716015625,148258,44.17883512755519,999.3488591965756,116.38470639314873,14,17,20,14,17,20,2448,672,90,11,3,0
2025-02-28 16:14:06,21.6633984375,149047,44.22610237977574,999.3504107648098,116.3716432314723,13,16,20,13,16,20,2391,657,82,12,3,0
2025-02-28 16:14:07,21.65578125,150112,44.23729052681825,999.3512343314219,116.36470936081425,13,16,20,13,16,20,2391,657,82,12,3,0
2025-02-28 16:14:08,21.6346875,148915,44.25297844153651,999.356702202234,116.31867372532652,13,16,20,13,16,20,2391,657,82,12,3,0
2025-02-28 16:14:09,21.623359375,149312,44.29388181231911,999.3598296014512,116.29234331006613,14,17,22,14,17,22,2388,664,95,17,4,0
2025-02-28 16:14:10,21.6126171875,148915,44.334860468980516,999.3535931610942,116.34484964513003,14,17,22,14,17,22,2388,664,95,17,4,0
2025-02-28 16:14:10,21.5895703125,149444,44.36239179517318,999.3470890278612,116.3996100439969,14,17,22,14,17,22,2388,664,95,17,4,0
2025-02-28 16:14:11,21.5790234375,149312,44.397375900498616,999.3515470022992,116.36207688592795,14,17,21,14,17,21,2349,666,85,16,4,0
2025-02-28 16:14:12,21.57140625,150246,44.43873126009253,999.3558216591372,116.32608726655681,14,17,21,14,17,21,2349,666,85,16,4,0
2025-02-28 16:14:13,21.549140625,149711,44.472397553071985,999.3541005179651,116.34057805586211,14,17,21,14,17,21,2349,666,85,16,4,0
2025-02-28 16:14:14,21.5383984375,150380,44.495310883029,999.3599499196068,116.29133032048269,13,16,20,13,16,20,2211,639,81,15,3,0
2025-02-28 16:14:15,21.528828125,150785,44.53646513212387,999.3574366105105,116.3124905385037,13,16,20,13,16,20,2211,639,81,15,3,0
2025-02-28 16:14:16,21.507734375,149711,44.546136445195394,999.3525302612626,116.35379852245715,13,16,20,13,16,20,2211,639,81,15,3,0
2025-02-28 16:14:16,21.49953125,150246,44.587456650101046,999.3523486251755,116.35532777275594,12,15,19,12,15,19,2097,602,79,15,3,0
2025-02-28 16:14:17,21.4919140625,151056,44.62281462097147,999.3497128260869,116.37751940438082,12,15,19,12,15,19,2097,602,79,15,3,0
2025-02-28 16:14:18,21.4723828125,150112,44.64474372473515,999.3543766651885,116.33825309052172,12,15,19,12,15,19,2097,602,79,15,3,0
2025-02-28 16:14:19,21.4628125,150246,44.68592946753543,999.3484074345178,116.38850992912349,12,16,20,12,16,20,2070,588,91,18,3,0
2025-02-28 16:14:20,21.45734375,151056,44.70342738893967,999.3511632027034,116.36530821606026,12,16,20,12,16,20,2070,588,91,18,3,0
2025-02-28 16:14:21,21.439765625,149844,44.72558718729711,999.3557031364535,116.32708514293701,12,16,20,12,16,20,2070,588,91,18,3,0
